M_number,name,ra,dec,type,distance_ly,apparent_magnitude,x,y,z,display_name,description
M 66,M  66,170.0626,12.9915,GiP,24.7552404,8.920000076293945,-23.75969215530081,4.162713548128682,5.565138979698103,M  66,Deep sky object
M 66,M  66,170.0626,12.9915,GiP,32.778678,8.920000076293945,-31.460461944765893,5.511893433292919,7.368859913829503,M  66,Deep sky object
M 66,M  66,170.0626,12.9915,GiP,34.63776719999999,8.920000076293945,-33.24478665208097,5.824508284733412,7.786795252225802,M  66,Deep sky object
M 66,M  66,170.0626,12.9915,GiP,32.9091404,8.920000076293945,-31.58567771370028,5.533831317604531,7.398188709506436,M  66,Deep sky object
M 66,M  66,170.0626,12.9915,GiP,34.9639232,8.920000076293945,-33.55782607441696,5.8793529955124475,7.860117241418138,M  66,Deep sky object
M 66,M  66,170.0626,12.9915,GiP,30.5934328,8.920000076293945,-29.363097815114834,5.144433871073391,6.87760258624087,M  66,Deep sky object
M 66,M  66,170.0626,12.9915,GiP,27.1361792,8.920000076293945,-26.044879938353457,4.5630799368156305,6.1003895008021365,M  66,Deep sky object
M 66,M  66,170.0626,12.9915,GiP,37.44760114,8.920000076293945,-35.94162127550544,6.296995468094791,8.418464189117756,M  66,Deep sky object
M 66,M  66,170.0626,12.9915,GiP,27.1361792,8.920000076293945,-26.044879938353457,4.5630799368156305,6.1003895008021365,M  66,Deep sky object
M 66,M  66,170.0626,12.9915,GiP,29.3214244,8.920000076293945,-28.14224406800452,4.9305394990351585,6.59164682839077,M  66,Deep sky object
M 66,M  66,170.0626,12.9915,GiP,26.09248,8.920000076293945,-25.043153786878324,4.387576862322721,5.865759135386669,M  66,Deep sky object
M 66,M  66,170.0626,12.9915,GiP,29.4845024,8.920000076293945,-28.298763779172507,4.957961854424675,6.628307822986937,M  66,Deep sky object
M 66,M  66,170.0626,12.9915,GiP,33.594068,8.920000076293945,-32.24306050060584,5.649005210240504,7.552164886810337,M  66,Deep sky object
M 66,M  66,170.0626,12.9915,GiP,26.09248,8.920000076293945,-25.043153786878324,4.387576862322721,5.865759135386669,M  66,Deep sky object
M 66,M  66,170.0626,12.9915,GiP,32.778678,8.920000076293945,-31.460461944765893,5.511893433292919,7.368859913829503,M  66,Deep sky object
M 66,M  66,170.0626,12.9915,GiP,29.680196,8.920000076293945,-28.48658743257409,4.990868680892095,6.672301016502336,M  66,Deep sky object
M 66,M  66,170.0626,12.9915,GiP,23.9398504,8.920000076293945,-22.97709359946086,4.025601771181097,5.381834006717269,M  66,Deep sky object
M 98,M  98,183.45121278624,14.900542632,LIN,56.098832,10.140000343322754,-54.11411408208684,-3.2635129964809746,14.42536279602405,M  98,Deep sky object
M 98,M  98,183.45121278624,14.900542632,LIN,54.46805199999999,10.140000343322754,-52.541029370398256,-3.1686434326297825,14.006020854279162,M  98,Deep sky object
M 98,M  98,183.45121278624,14.900542632,LIN,48.6950908,10.140000343322754,-46.97230949102073,-2.8328051765965667,12.521550380502273,M  98,Deep sky object
M 98,M  98,183.45121278624,14.900542632,LIN,41.440402892,10.140000343322754,-39.974284842602955,-2.410768434848158,10.656065818455975,M  98,Deep sky object
M 98,M  98,183.45121278624,14.900542632,LIN,57.4686872,10.140000343322754,-55.43550523990523,-3.3432034301159743,14.777610027089754,M  98,Deep sky object
M 98,M  98,183.45121278624,14.900542632,LIN,53.81574,10.140000343322754,-51.91179548572284,-3.1306956070893066,13.83828407758121,M  98,Deep sky object
M 98,M  98,183.45121278624,14.900542632,LIN,62.948108,10.140000343322754,-60.721069871178834,-3.6619651646559768,16.18659895135257,M  98,Deep sky object
M 98,M  98,183.45121278624,14.900542632,LIN,42.40028,10.140000343322754,-40.90020250390285,-2.466608660130969,10.902890485367015,M  98,Deep sky object
M 98,M  98,183.45121278624,14.900542632,LIN,55.44652,10.140000343322754,-53.48488019741141,-3.2255651709404978,14.257626019326096,M  98,Deep sky object
M 98,M  98,183.45121278624,14.900542632,LIN,61.3825592,10.140000343322754,-59.210908547957814,-3.570890383358834,15.784030687277479,M  98,Deep sky object
M 98,M  98,183.45121278624,14.900542632,LIN,62.1979492,10.140000343322754,-59.99745090380209,-3.618325165284429,15.99370165814992,M  98,Deep sky object
M 98,M  98,183.45121278624,14.900542632,LIN,54.46805199999999,10.140000343322754,-52.541029370398256,-3.1686434326297825,14.006020854279162,M  98,Deep sky object
M 99,M  99,184.7067708333333,14.416488888888884,H2G,54.46805199999999,9.869999885559082,-52.575038666451995,-4.328710027430888,13.560835792612501,M  99,Deep sky object
M 99,M  99,184.7067708333333,14.416488888888884,H2G,53.81574,9.869999885559082,-51.945397484817846,-4.276869188779021,13.398430573539299,M  99,Deep sky object
M 99,M  99,184.7067708333333,14.416488888888884,H2G,42.0170467,9.869999885559082,-40.556762612010054,-3.339198019663378,10.460926173552728,M  99,Deep sky object
M 99,M  99,184.7067708333333,14.416488888888884,H2G,45.2378372,9.869999885559082,-43.6656159463287,-3.5951621605069715,11.262801942726671,M  99,Deep sky object
M 99,M  99,184.7067708333333,14.416488888888884,H2G,45.2378372,9.869999885559082,-43.6656159463287,-3.5951621605069715,11.262801942726671,M  99,Deep sky object
M 99,M  99,184.7067708333333,14.416488888888884,H2G,119.373096,9.869999885559082,-115.2243362390505,-9.486873473291647,29.720155090396265,M  99,Deep sky object
M 99,M  99,184.7067708333333,14.416488888888884,H2G,55.44652,9.869999885559082,-53.519500438903236,-4.4064712854086885,13.804443621222308,M  99,Deep sky object
M 99,M  99,184.7067708333333,14.416488888888884,H2G,54.794208,9.869999885559082,-52.88985925726908,-4.354630446756822,13.642038402149105,M  99,Deep sky object
M 99,M  99,184.7067708333333,14.416488888888884,H2G,67.6121388,9.869999885559082,-65.26230847638023,-5.373302926266006,16.833300956937556,M  99,Deep sky object
M 99,M  99,184.7067708333333,14.416488888888884,H2G,66.56843959999999,9.869999885559082,-64.25488258576559,-5.2903575844230195,16.573452606420428,M  99,Deep sky object
M 99,M  99,184.7067708333333,14.416488888888884,H2G,54.46805199999999,9.869999885559082,-52.575038666451995,-4.328710027430888,13.560835792612501,M  99,Deep sky object
M 99,M  99,184.7067708333333,14.416488888888884,H2G,65.2312,9.869999885559082,-62.96411816341557,-5.184083865186692,16.240521907320364,M  99,Deep sky object
M 99,M  99,184.7067708333333,14.416488888888884,H2G,42.074124,9.869999885559082,-40.611856215403044,-3.3437340930454167,10.475136630221634,M  99,Deep sky object
M 61,M  61,185.47886774287,4.47377704644,Sy2,78.929752,9.649999618530272,-78.32977057542611,-7.513142060109052,6.156743357265411,M  61,Deep sky object
M 61,M  61,185.47886774287,4.47377704644,Sy2,53.81574,9.649999618530272,-53.40666175597236,-5.122596859165263,4.197779561771871,M  61,Deep sky object
M 61,M  61,185.47886774287,4.47377704644,Sy2,55.44652,9.649999618530272,-55.025045445547285,-5.277827067018757,4.3249850030376855,M  61,Deep sky object
M 61,M  61,185.47886774287,4.47377704644,Sy2,49.575712,9.649999618530272,-49.19886416307757,-4.718998318746182,3.8670454144807542,M  61,Deep sky object
M 61,M  61,185.47886774287,4.47377704644,Sy2,61.96964,9.649999618530272,-61.498580203846956,-5.8987478984327275,4.833806768100943,M  61,Deep sky object
M 61,M  61,185.47886774287,4.47377704644,Sy2,64.57888799999999,9.649999618530272,-64.08799410716682,-6.147116230998316,5.037335474126245,M  61,Deep sky object
M 61,M  61,185.47886774287,4.47377704644,Sy2,34.572536,9.649999618530272,-34.309734218988304,-3.2908804064940482,2.6967553548352625,M  61,Deep sky object
M 85,M  85,186.35022083333328,18.191080555555555,GiP,60.4693224,,-57.09463264950188,-6.35396552881729,18.877738111123836,M  85,Deep sky object
M 85,M  85,186.35022083333328,18.191080555555555,GiP,62.23056479999999,,-58.75758311502134,-6.539032485967306,19.42757514348666,M  85,Deep sky object
M 85,M  85,186.35022083333328,18.191080555555555,GiP,58.25146159999999,,-55.00054687810698,-6.120918249443192,18.185350737037304,M  85,Deep sky object
M 85,M  85,186.35022083333328,18.191080555555555,GiP,58.38192399999999,,-55.123728394071385,-6.1346269129357855,18.226079406101217,M  85,Deep sky object
M 85,M  85,186.35022083333328,18.191080555555555,GiP,51.69572599999999,,-48.810675700895615,-5.4320579089403465,16.13873511657566,M  85,Deep sky object
