gaia_id,ra,dec,main_id,simbad_names,star_names,common_name,has_common_name,object_type
2076792648144511104,297.0899587167322,41.388069154379686,Kepler-203c,Kepler-203c|KOI-658.02,Kepler-203c,Kepler-203c,True,Pl
2076819276942298496,296.3887656773769,41.04050754528235,Kepler-1289b,Kepler-1289b|KOI-2614.01,Kepler-1289b,Kepler-1289b,True,Pl
2076833055197955584,296.7071939867896,41.20361895267487,KOI-2321.02,KOI-2321.02,KOI-2321.02,KOI-2321.02,True,Pl?
2076848310922066048,296.68048808556625,41.38652835181986,Kepler-757b,KOI-1059.01|Kepler-757b,KOI-1059.01,KOI-1059.01,True,Pl
2076924314661348736,297.5830549995741,41.952351825828515,KOI-1627.03,KOI-1627.03,KOI-1627.03,KOI-1627.03,True,Pl?
2076953069455745920,296.8565582487287,41.75807173944379,Kepler-353c,Kepler-353c|KOI-2036.01,Kepler-353c,Kepler-353c,True,Pl
2076970047474270208,297.33307198708445,41.8911187240746,Kepler-89d,KOI-94d|KOI-94.01|Kepler-89d,KOI-94d,KOI-94d,True,Pl
2077041103410971392,296.35945654512653,41.57453196683387,Kepler-1641b,KOI-6145.01|Kepler-1641b,KOI-6145.01,KOI-6145.01,True,Pl
2077119748545602304,296.03220020472446,42.13174126887019,Kepler-640b,KOI-666.01|Kepler-640b,KOI-666.01,KOI-666.01,True,Pl
2077203178296653056,296.4673035480431,42.59879872875201,Kepler-136b,Kepler-136b|KOI-312.01,Kepler-136b,Kepler-136b,True,Pl
2077203728052488192,296.48340033739765,42.66337930646099,Kepler-246b,Kepler-246b|KOI-874.01,Kepler-246b,Kepler-246b,True,Pl
2077241558125147904,296.0598693055344,42.65605877679672,Kepler-1607b,KOI-4473.01|Kepler-1607b,KOI-4473.01,KOI-4473.01,True,Pl
2077243138673356928,296.04729152940615,42.7429397575178,Kepler-910b,KOI-1618.01|Kepler-910b,KOI-1618.01,KOI-1618.01,True,Pl
2077381299180152704,293.31829764335146,41.11667040273183,Kepler-1943b,Kepler-1943b|KOI-4156.01,Kepler-1943b,Kepler-1943b,True,Pl
